source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
P01106	P30304	MYC	CDC25A	True	True	False	True	True	False	A
P05549	P15559	TFAP2A	NQO1	True	True	False	True	True	False	D
P01100	P01137	FOS	TGFB1	True	True	False	False	False	False	D
P04637	P03956	TP53	MMP1	True	False	True	True	False	True	D
P27540	P01588	ARNT	EPO	True	True	False	True	True	False	A
O15350	Q00987	TP73	MDM2	True	True	False	True	True	False	A
O15350	P04637	TP73	TP53	True	True	False	False	False	False	C
P04637	O15350	TP53	TP73	True	True	False	True	True	False	A
O15350	P38936	TP73	CDKN1A	True	True	False	True	True	False	A
P08047	P38936	SP1	CDKN1A	True	True	True	True	True	False	A
P08047	P49585	SP1	PCYT1A	True	True	False	True	True	False	D
P15036	P05113	ETS2	IL5	True	True	False	True	True	False	A
P23771	P05113	GATA3	IL5	True	True	False	True	True	False	A
P14921	P05113	ETS1	IL5	True	True	False	True	True	False	A
P08047	P01137	SP1	TGFB1	True	True	False	True	True	False	A
P01100	P30559	FOS	OXTR	True	True	False	True	True	False	D
Q06546	P30559	GABPA	OXTR	True	True	False	True	True	False	D
P05412	P30559	JUN	OXTR	True	True	False	True	True	False	A
P04637	P01138	TP53	NGF	True	True	False	True	True	False	D
Q04864	P01589	REL	IL2RA	True	True	False	True	True	False	A
P08047	P01130	SP1	LDLR	True	True	False	True	True	False	A
P25490	P01130	YY1	LDLR	True	False	True	True	False	True	A
P49715	P35558	CEBPA	PCK1	True	True	False	True	True	False	A
P19544	P38936	WT1	CDKN1A	True	True	False	True	True	False	A
P01100	P07992	FOS	ERCC1	True	True	False	True	True	False	A
P25490	P61073	YY1	CXCR4	True	False	True	True	False	True	A
P01106	P61073	MYC	CXCR4	True	True	False	True	True	False	A
P22415	P61073	USF1	CXCR4	True	True	False	True	True	False	A
Q13285	P01229	NR5A1	LHB	True	True	True	True	True	False	A
P15336	P01375	ATF2	TNF	True	True	False	True	True	False	A
P05412	P01375	JUN	TNF	True	True	False	True	True	False	A
Q9UJU2	P24385	LEF1	CCND1	True	True	False	True	True	False	A
P17676	P49675	CEBPB	STAR	True	True	False	True	True	False	A
Q13285	P49675	NR5A1	STAR	True	True	True	True	True	False	A
P18146	Q9NSE2	EGR1	CISH	True	True	False	True	True	False	D
P01100	P11831	FOS	SRF	True	True	False	False	False	False	D
P11831	P01100	SRF	FOS	True	True	False	True	True	False	A
P01100	P41134	FOS	ID1	True	False	False	False	False	False	D
P01106	P38936	MYC	CDKN1A	True	True	True	True	False	True	A
P05412	P60568	JUN	IL2	True	True	True	True	True	False	A
P48436	Q16674	SOX9	MIA	True	True	False	True	True	False	A
P10914	P01562	IRF1	IFNA1	True	True	False	True	True	False	A;D
P10914	P14316	IRF1	IRF2	True	True	False	True	True	False	A
P14316	P10914	IRF2	IRF1	True	True	True	False	False	False	D
P04637	Q99732	TP53	LITAF	True	True	False	True	True	False	A
P04637	P78543	TP53	BTG2	True	True	False	True	True	False	A
Q02447	P38936	SP3	CDKN1A	True	True	True	True	True	False	A
P04637	P12004	TP53	PCNA	True	True	False	True	True	False	A
P42224	P01574	STAT1	IFNB1	True	True	True	True	True	False	A
P15336	P05412	ATF2	JUN	True	True	False	True	True	False	A
Q00613	P01375	HSF1	TNF	True	True	True	True	False	True	D
Q00613	P01584	HSF1	IL1B	True	True	True	True	False	True	D
Q07869	P55916	PPARA	UCP3	True	True	False	True	True	False	D
Q04864	P78504	REL	JAG1	True	True	False	True	True	False	D
Q04206	P78504	RELA	JAG1	True	True	False	True	True	False	D
P18146	P13726	EGR1	F3	True	True	False	True	True	False	A
P11831	P18146	SRF	EGR1	True	True	False	True	True	False	A
P18146	P11831	EGR1	SRF	True	True	False	False	False	False	D
O00358	P07202	FOXE1	TPO	True	True	False	True	True	False	D
P41235	P01009	HNF4A	SERPINA1	True	True	False	True	True	False	A
P05412	P04141	JUN	CSF2	True	True	False	True	True	False	A
P52945	P01308	PDX1	INS	True	True	False	True	True	False	A
Q13469	P04141	NFATC2	CSF2	True	True	False	True	True	False	A
Q02078	P05412	MEF2A	JUN	True	True	False	True	True	False	A
Q13950	P45452	RUNX2	MMP13	True	True	False	True	True	False	A
P67809	P45452	YBX1	MMP13	True	True	True	True	False	True	A
P20823	P41235	HNF1A	HNF4A	True	True	False	False	False	False	A
P41235	P20823	HNF4A	HNF1A	True	True	False	True	True	False	A
P20823	P01308	HNF1A	INS	True	True	False	True	True	False	A
Q96RI1	P22680	NR1H4	CYP7A1	True	False	True	True	False	True	D
P22670	P12004	RFX1	PCNA	True	True	True	True	False	True	A
Q01094	P00374	E2F1	DHFR	True	True	False	True	True	False	A
P05412	P07996	JUN	THBS1	True	True	True	True	False	True	D
P19544	P07996	WT1	THBS1	True	True	True	True	True	False	A
P08047	P22692	SP1	IGFBP4	True	True	False	True	True	False	A
Q92731	P01236	ESR2	PRL	True	True	False	True	True	False	D
Q15723	Q02763	ELF2	TEK	True	True	False	True	True	False	D
P10275	Q13772	AR	NCOA4	True	True	False	False	False	False	D
P01106	P04637	MYC	TP53	True	True	False	True	True	False	A
P04637	P01106	TP53	MYC	True	False	True	False	False	False	A
P04637	Q04206	TP53	RELA	True	True	True	False	False	False	A
P04637	P19838	TP53	NFKB1	True	True	True	False	False	False	D
P19838	P04637	NFKB1	TP53	True	True	False	True	True	False	A
Q04206	P04637	RELA	TP53	True	True	False	True	True	False	A
Q12778	P08833	FOXO1	IGFBP1	True	True	True	True	True	False	A
P42229	P05814	STAT5A	CSN2	True	True	False	True	True	False	A
P17947	P46939	SPI1	UTRN	True	True	False	True	True	False	B
P35869	P04798	AHR	CYP1A1	True	True	True	True	True	False	A
O00482	P22680	NR5A2	CYP7A1	True	True	True	True	True	False	C
P42224	O14543	STAT1	SOCS3	True	True	False	True	True	False	A
P40763	O14543	STAT3	SOCS3	True	True	False	True	True	False	A
P14859	P05113	POU2F1	IL5	True	True	False	True	True	False	A
P25490	P05113	YY1	IL5	True	True	False	True	True	False	A
P08047	P30281	SP1	CCND3	True	True	False	True	True	False	D
P10276	P00749	RARA	PLAU	True	True	False	True	True	False	A
P08047	P00749	SP1	PLAU	True	True	False	True	True	False	A
Q9UJU2	P09237	LEF1	MMP7	True	True	False	True	True	False	A
P17947	Q06187	SPI1	BTK	True	True	False	True	True	False	A
P08047	Q06187	SP1	BTK	True	True	False	True	True	False	A
P42226	P05112	STAT6	IL4	True	True	False	True	True	False	A
Q02447	Q06187	SP3	BTK	True	True	False	True	True	False	A
P08047	Q02447	SP1	SP3	True	True	False	True	True	False	A
P17861	P00533	XBP1	EGFR	True	True	False	False	False	False	D
P42226	P16109	STAT6	SELP	True	True	False	True	True	False	D
P08047	P11166	SP1	SLC2A1	True	True	False	True	True	False	D
