source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources
COMPLEX:P17275_P53539	P30990	FOSB_JUNB	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P01100_P05412	P30990	FOS_JUN	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P17275	P30990	JUN_JUNB	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P15407_P17275	P30990	FOSL1_JUNB	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
P10242	P55895	MYB	RAG2	True	True	False	True	True	False	TfactS_CollecTRI2;DoRothEA-A_CollecTRI2;ExTRI_CollecTRI;TRRUST_CollecTRI;TRED_DoRothEA;TRRUST;Pavlidis_CollecTRI2;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;TRRUST_CollecTRI2;NTNUcuration_CollecTRI2;RegNetwork_DoRothEA;CollecTRI;TRRUST_DoRothEA;DoRothEA;GOA_CollecTRI;GOA_CollecTRI2;CollecTRI2;Pavlidis2021_CollecTRI
COMPLEX:P15407_P17535	P30990	FOSL1_JUND	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P17535	P30990	JUN_JUND	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P01100_P17275	P30990	FOS_JUNB	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P17275	P30990	JUNB	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P01100_P17535	P30990	FOS_JUND	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
Q01094	P02489	E2F1	CRYAA	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P53539	P30990	FOSB_JUN	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P15408	P30990	FOSL2_JUN	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P17535	P30990	JUND	NTS	True	True	False	True	True	False	CollecTRI;TRRUST_CollecTRI;GEREDB_CollecTRI;ExTRI_CollecTRI
O43524	P46527	FOXO3	CDKN1B	True	True	False	True	True	False	CollecTRI;IntAct_CollecTRI2;ExTRI2_CollecTRI2;GEREDB_CollecTRI2;NTNUcuration_CollecTRI2;IntAct_CollecTRI;CollecTRI2;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;GEREDB_CollecTRI;SIGNOR;ExTRI_CollecTRI
P05549	Q7Z6R9	TFAP2A	TFAP2D	True	True	False	True	True	False	CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI
Q7Z6R9	P01040	TFAP2D	CSTA	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
P05549	P01040	TFAP2A	CSTA	True	True	False	True	True	False	CollecTRI;ExTRI2_CollecTRI2;DoRothEA;TfactS_CollecTRI2;CollecTRI2;TRED_DoRothEA;RegNetwork_DoRothEA;ExTRI_CollecTRI
P35869	P08183	AHR	ABCB1	True	True	False	True	True	False	CollecTRI;ExTRI2_CollecTRI2;GEREDB_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;ExTRI_CollecTRI
P27540	P08183	ARNT	ABCB1	True	True	False	True	True	False	CollecTRI;ExTRI2_CollecTRI2;GEREDB_CollecTRI2;CollecTRI2;GEREDB_CollecTRI;ExTRI_CollecTRI
COMPLEX:P17275_P17535	P05305	JUNB_JUND	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
