n,mcc,precision,recall,tp,fp,tn,fn,prevalence,organism,component,bucket_type,bucket_value
445,0.33776737202755724,0.8583106267029973,0.8898305084745762,315,52,39,39,0.7955056179775281,mgenitalium,ortholog_prior,is_uncharacterized,0
455,0.19088500452971083,0.9534883720930233,0.22714681440443213,82,4,90,279,0.7934065934065934,mgenitalium,PPI,is_uncharacterized,0
377,0.39344769060874857,0.8770226537216829,0.8943894389438944,271,38,36,32,0.8037135278514589,mgenitalium,ortholog_prior,is_putative,0
386,0.19814725349405826,0.9518072289156626,0.255663430420712,79,4,73,230,0.8005181347150259,mgenitalium,PPI,is_putative,0
69,0.05123297623728215,0.7627118644067796,0.8653846153846154,45,14,3,7,0.7536231884057971,mgenitalium,ortholog_prior,is_putative,1
70,0.1198421941830917,1.0,0.05660377358490566,3,0,17,50,0.7571428571428571,mgenitalium,PPI,is_putative,1
10,0.3273268353539886,1.0,0.2857142857142857,2,0,3,5,0.7,mgenitalium,PPI,n_orth_bucket,0
253,0.33340375235868996,0.7990430622009569,0.9027027027027027,167,42,26,18,0.7312252964426877,mgenitalium,ortholog_prior,n_orth_bucket,1-2
253,0.12089601633779905,0.9375,0.08108108108108109,15,1,67,170,0.7312252964426877,mgenitalium,PPI,n_orth_bucket,1-2
116,0.3767954181716569,0.898876404494382,0.8421052631578947,80,9,12,15,0.8189655172413793,mgenitalium,ortholog_prior,n_orth_bucket,3-5
116,0.15518982759918035,0.9117647058823529,0.3263157894736842,31,3,18,64,0.8189655172413793,mgenitalium,PPI,n_orth_bucket,3-5
77,0.23237900077244503,0.9857142857142858,0.92,69,1,1,6,0.974025974025974,mgenitalium,ortholog_prior,n_orth_bucket,6+
77,0.1452076833980539,1.0,0.4533333333333333,34,0,2,41,0.974025974025974,mgenitalium,PPI,n_orth_bucket,6+
16,1.0,1.0,1.0,15,0,1,0,0.9375,mgenitalium,ortholog_prior,length_bucket,short(<300bp)
16,0.6831300510639733,1.0,0.9333333333333333,14,0,1,1,0.9375,mgenitalium,PPI,length_bucket,short(<300bp)
234,0.3336499190246052,0.8484848484848485,0.9081081081081082,168,30,19,17,0.7905982905982906,mgenitalium,ortholog_prior,length_bucket,medium(300-1000bp)
240,0.21998519907298533,0.9615384615384616,0.2631578947368421,50,2,48,140,0.7916666666666666,mgenitalium,PPI,length_bucket,medium(300-1000bp)
181,0.35584731084525273,0.8561643835616438,0.8802816901408451,125,21,18,17,0.7845303867403315,mgenitalium,ortholog_prior,length_bucket,long(1k-3k)
183,0.12370289675232155,0.9411764705882353,0.11188811188811189,16,1,39,127,0.7814207650273224,mgenitalium,PPI,length_bucket,long(1k-3k)
15,0.08006407690254358,0.8888888888888888,0.6153846153846154,8,1,1,5,0.8666666666666667,mgenitalium,ortholog_prior,length_bucket,very_long(>3kbp)
17,-0.19047619047619047,0.6666666666666666,0.14285714285714285,2,1,2,12,0.8235294117647058,mgenitalium,PPI,length_bucket,very_long(>3kbp)
446,0.33811345263061393,0.8586956521739131,0.8901408450704226,316,52,39,39,0.7959641255605381,mgenitalium,ortholog_prior,has_ppi_partner,True
456,0.19024183813440004,0.9534883720930233,0.2265193370165746,82,4,90,280,0.793859649122807,mgenitalium,PPI,has_ppi_partner,True
421,0.3143559001985375,0.9242902208201893,0.8071625344352618,293,24,34,70,0.8622327790973872,mpne,ortholog_prior,kw_replication,0
585,0.2653988813117008,0.8816568047337278,0.369727047146402,149,20,162,254,0.6888888888888889,mpne,PPI,kw_replication,0
28,0.2842676218074806,0.9090909090909091,0.8333333333333334,20,2,2,4,0.8571428571428571,mpne,ortholog_prior,kw_replication,1
29,0.227866357593825,0.9230769230769231,0.5,12,1,4,12,0.8275862068965517,mpne,PPI,kw_replication,1
435,0.3042821294588972,0.9204892966360856,0.8048128342245989,301,26,35,73,0.8597701149425288,mpne,ortholog_prior,kw_transcription,0
599,0.2604801083482753,0.8786127167630058,0.36803874092009686,152,21,165,261,0.6894824707846411,mpne,PPI,kw_transcription,0
14,0.6793662204867574,1.0,0.9230769230769231,12,0,1,1,0.9285714285714286,mpne,ortholog_prior,kw_transcription,1
15,0.32732683535398854,1.0,0.6428571428571429,9,0,1,5,0.9333333333333333,mpne,PPI,kw_transcription,1
360,0.2768047057965361,0.8976377952755905,0.7625418060200669,228,26,35,71,0.8305555555555556,mpne,ortholog_prior,kw_translation,0
519,0.19383450973208627,0.8198198198198198,0.2732732732732733,91,20,166,242,0.6416184971098265,mpne,PPI,kw_translation,0
89,0.49140337069181034,1.0,0.9659090909090909,85,0,1,3,0.9887640449438202,mpne,ortholog_prior,kw_translation,1
95,-0.059967027200067746,0.9859154929577465,0.7446808510638298,70,1,0,24,0.9894736842105263,mpne,PPI,kw_translation,1
441,0.31268125565249016,0.9216867469879518,0.8073878627968337,306,26,36,73,0.8594104308390023,mpne,ortholog_prior,kw_atp,0
606,0.2641264481190783,0.8813559322033898,0.3723150357995227,156,21,166,263,0.6914191419141914,mpne,PPI,kw_atp,0
400,0.2855117406290058,0.9158576051779935,0.8202898550724638,283,26,29,62,0.8625,mpne,ortholog_prior,kw_membrane,0
555,0.2976287446827767,0.8908045977011494,0.4068241469816273,155,19,155,226,0.6864864864864865,mpne,PPI,kw_membrane,0
49,0.512989176042577,1.0,0.7142857142857143,30,0,7,12,0.8571428571428571,mpne,ortholog_prior,kw_membrane,1
59,-0.028343100853491888,0.75,0.13043478260869565,6,2,11,40,0.7796610169491526,mpne,PPI,kw_membrane,1
433,0.3126311004690981,0.9233128834355828,0.806970509383378,301,25,35,72,0.8614318706697459,mpne,ortholog_prior,kw_synthase,0
597,0.27438275151862723,0.8863636363636364,0.3786407766990291,156,20,165,256,0.6901172529313233,mpne,PPI,kw_synthase,0
16,0.30261376633440124,0.9230769230769231,0.8571428571428571,12,1,1,2,0.875,mpne,ortholog_prior,kw_synthase,1
17,-0.11236664374387369,0.8333333333333334,0.3333333333333333,5,1,1,10,0.8823529411764706,mpne,PPI,kw_synthase,1
431,0.32182476828384066,0.9202453987730062,0.8130081300813008,300,26,36,69,0.8561484918793504,mpne,ortholog_prior,kw_kinase,0
595,0.2743121528054739,0.8820224719101124,0.38386308068459657,157,21,165,252,0.6873949579831933,mpne,PPI,kw_kinase,0
18,,,,13,0,0,5,1.0,mpne,ortholog_prior,kw_kinase,1
19,0.12171612389003691,1.0,0.2222222222222222,4,0,1,14,0.9473684210526315,mpne,PPI,kw_kinase,1
431,0.3241250555381637,0.9323076923076923,0.808,303,22,34,72,0.8700696055684455,mpne,ortholog_prior,kw_dehydrogenase,0
594,0.26539463893750503,0.88268156424581,0.38164251207729466,158,21,159,256,0.696969696969697,mpne,PPI,kw_dehydrogenase,0
18,0.1889822365046136,0.7142857142857143,0.8333333333333334,10,4,2,2,0.6666666666666666,mpne,ortholog_prior,kw_dehydrogenase,1
20,0.3082573996425538,1.0,0.23076923076923078,3,0,7,10,0.65,mpne,PPI,kw_dehydrogenase,1
439,0.31508614684616526,0.9221556886227545,0.8148148148148148,308,26,35,70,0.8610478359908884,mpne,ortholog_prior,kw_protease,0
598,0.25976132998141427,0.8820224719101124,0.37559808612440193,157,21,159,261,0.6989966555183946,mpne,PPI,kw_protease,0
10,0.3333333333333333,1.0,0.5555555555555556,5,0,1,4,0.9,mpne,ortholog_prior,kw_protease,1
16,0.5091750772173156,1.0,0.4444444444444444,4,0,7,5,0.5625,mpne,PPI,kw_protease,1
443,0.3164403044545601,0.9230769230769231,0.8167539267015707,312,26,35,70,0.8623024830699775,mpne,ortholog_prior,kw_rrna,0
608,0.26044935627723476,0.8813559322033898,0.3696682464454976,156,21,165,266,0.694078947368421,mpne,PPI,kw_rrna,0
444,0.31372582611762984,0.9223880597014925,0.8089005235602095,309,26,36,73,0.8603603603603603,mpne,ortholog_prior,kw_chaperone,0
609,0.26539745692036554,0.88268156424581,0.3744075829383886,158,21,166,264,0.6929392446633826,mpne,PPI,kw_chaperone,0
448,0.3057752600474273,0.9233038348082596,0.8087855297157622,313,26,35,74,0.8638392857142857,mpne,ortholog_prior,is_hypothetical,0
601,0.25902726212249405,0.8839779005524862,0.37825059101654845,160,21,157,263,0.7038269550748752,mpne,PPI,is_hypothetical,0
13,0.4330127018922193,1.0,0.25,1,0,9,3,0.3076923076923077,mpne,PPI,is_hypothetical,1
449,0.312381503487527,0.9233038348082596,0.8087855297157622,313,26,36,74,0.8619153674832962,mpne,ortholog_prior,is_uncharacterized,0
614,0.26680420791282816,0.8846153846153846,0.3770491803278688,161,21,166,266,0.6954397394136808,mpne,PPI,is_uncharacterized,0
449,0.312381503487527,0.9233038348082596,0.8087855297157622,313,26,36,74,0.8619153674832962,mpne,ortholog_prior,is_putative,0
607,0.2614987465567456,0.8846153846153846,0.3779342723004695,161,21,160,265,0.7018121911037891,mpne,PPI,is_putative,0
165,0.18064658991254168,0.43478260869565216,0.25,10,13,112,30,0.24242424242424243,mpne,PPI,n_orth_bucket,0
259,0.3671770857512105,0.8817204301075269,0.803921568627451,164,22,33,40,0.7876447876447876,mpne,ortholog_prior,n_orth_bucket,1-2
259,0.10381571994126985,0.8703703703703703,0.23039215686274508,47,7,48,157,0.7876447876447876,mpne,PPI,n_orth_bucket,1-2
110,0.037994788248197804,0.9506172839506173,0.7403846153846154,77,4,2,27,0.9454545454545454,mpne,ortholog_prior,n_orth_bucket,3-5
110,0.2401922307076307,1.0,0.5288461538461539,55,0,6,49,0.9454545454545454,mpne,PPI,n_orth_bucket,3-5
80,0.3375263702778072,1.0,0.9113924050632911,72,0,1,7,0.9875,mpne,ortholog_prior,n_orth_bucket,6+
80,-0.08714893406611901,0.98,0.620253164556962,49,1,0,30,0.9875,mpne,PPI,n_orth_bucket,6+
18,0.6614378277661476,1.0,0.875,14,0,2,2,0.8888888888888888,mpne,ortholog_prior,length_bucket,short(<300bp)
