pattern_id,static_top_genes,static_top_orgs,static_essential_frac,traj_top_genes,traj_top_orgs,traj_essential_frac,know_top_genes,know_top_orgs,know_essential_frac,corr_static_traj,corr_static_know,corr_traj_know,mean_alignment
114,yfgD | yjfH | ynfA | yigC | yahN | ygaM | yhiN | yebU,"ccrescentus,styphimurium",0.06666666666666667,pyrH | pyrH | pyrH | pyrH | pyrH | smbA | pyrH | ackA,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8,SA1672 | glyA | dnaJ | glyA | ffh | dnaK | topA | glyA,"mgenitalium,mpne,saureus,syn3a",0.8666666666666667,0.1929967499215042,-0.061248039826560935,-0.2295957288981142,-0.032615672934390307
26,ygaM | yohD,"ccrescentus,styphimurium",0.0,rpe | rpe | cfxE | rpe | hptA | hpt | SA0468 | hpt,"ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.7333333333333333,lspA,"mgenitalium,mpne",0.4666666666666667,0.046790522857192984,-0.15897454329206712,0.00786984130905619,-0.03477139304193932
68,rpsN | miaA | invG | yhbV | flhA | hsdS | yggS | yrbA,"mgenitalium,mpne,saureus,styphimurium",0.4666666666666667,tdk | tdk | pta | pta | pta | pta | eutD | adk,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,amiC | vapC10 | hsp | ligC | eccB3 | tmk | glpQ2,"mtuberculosis,syn3a",0.2,-0.06847037550145775,0.02140984683107356,-0.057385393340954625,-0.03481530733711294
41,rpsQ | vapC28 | pal | rplQ | bcfA | rpmB1 | rpmJ | engA,"ccrescentus,mtuberculosis,styphimurium",0.3333333333333333,pgi | pgi | pgi | ptsG | ptsG | ptsG | ptsG | pyrH,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.9333333333333333,fadE35 | pafA | canA | embC | fdxD | vapB4,"ccrescentus,mtuberculosis",0.13333333333333333,-0.3592510342163742,0.16434548544329058,0.08746829577648017,-0.03581241766553449
109,dtd | acoL | sugE | cheAI,"abaylyi,ccrescentus,mpne",0.0,nadK | punA | deoD | deoD | deoD | adk | adk | adk,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,SA2292 | hld | SA1335 | SA1888 | SAS083 | tagA | holB,"mpne,saureus",0.4,0.0750068024332186,-0.034615271850153465,-0.17118436937058296,-0.04359761292917261
77,rplX | pduN | sufD | rplC | mce3B | rplW | flgC,"ccrescentus,mpne,mtuberculosis,styphimurium",0.3333333333333333,pgi | pgi | pgi | galU | galU | galU; gtaB | galU | galU,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,frdA | moaE2 | devB | sigK | yidC | fzeA | hutI,"ccrescentus,mtuberculosis",0.2,0.07468313083062898,-0.022175130489844635,-0.18460888343527232,-0.04403362769816266
56,trpS2 | visC | nrdD | yedD | yihI | rpsU | yhcN | yjfQ,styphimurium,0.0,nadK | adk | adk | adk | adk | adk | adk | adk,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,fruA | dusB | crcB | nth | nth | rluB | sugE | SA1459,"abaylyi,mgenitalium,mpne,mtuberculosis,saureus,syn3a",0.3333333333333333,-0.05012662034170115,-0.04787827281936099,-0.034471950665403865,-0.04415894794215534
45,parC | uvrC | fruK | parE | folD | otsB | SA0940 | SA0941,"abaylyi,mgenitalium,mpne,saureus",0.6,gapDH | gap | gap | gap | gapA | pgk | pgk | pgk,"abaylyi,mgenitalium,mpne,saureus,styphimurium,syn3a",0.8666666666666667,SA2292 | hld | SA1335 | SA1888 | SAS083 | tagA | holB,"mpne,saureus",0.4,0.10259195934033288,-0.03369930989014358,-0.20192011941187885,-0.044342489987229845
0,rpmG | rpsU | rpmB | serS | rplA | rpmB | rpmA | rpsP,"abaylyi,mpne,mtuberculosis,saureus,styphimurium",0.6666666666666666,pmmB | deoB | ppa | ppa | ppa | ppa | ppa | fba,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,pdhA | cydA | yihZ | nirB | recR | lipA | ndkA | yhhW,"ccrescentus,mtuberculosis,saureus,styphimurium",0.3333333333333333,0.21765848201892463,-0.11334908690246477,-0.24222089438724104,-0.045970499756927054
57,ytfH | ysaA | cueR | cztR | ygjP | yjiE | yddE | phnA,"ccrescentus,styphimurium",0.0,adk | adk | adk | adk | adk | adk | adk | pgk,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,uvrC | htrA | pta | pcd | priA | cysT | astD | ilvH,"abaylyi,ccrescentus,mtuberculosis,saureus,styphimurium",0.13333333333333333,0.19316329493216758,-0.16244588667649246,-0.1739776260012612,-0.04775340591519536
100,ispF | yycJ | dctA | relA | tyrS | trxA | thyA,"abaylyi,mgenitalium,mpne,saureus,syn3a",0.4666666666666667,adk | adk | adk | adk | adk | adk | adk | pta,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,narH | ycjG | pbpG,"abaylyi,ccrescentus,mtuberculosis,styphimurium",0.06666666666666667,-0.11411500513888381,0.21485104869380986,-0.244192391904413,-0.04781878278316232
97,dnaA | ynfA | caiF | rpsN | rpmJ | araC | fdhD | rplW,"abaylyi,mgenitalium,saureus,styphimurium,syn3a",0.26666666666666666,gmk | gmk | gmk | gmk | gmk | gmk | gmk | gmk,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.8666666666666667,SA1672 | yibK | msrA | msrA | ychF | msrA | ruvB | msrA,"abaylyi,ccrescentus,mgenitalium,mpne,mtuberculosis,saureus,styphimurium,syn3a",0.26666666666666666,0.023565766591293832,0.017426992229390627,-0.18634400805604193,-0.048450416411785824
