gene,ensg,fba_essential,hart_truth,subsystem,druggability
ACP2,ENSG00000134575,0,,Purine metabolism,0.9
ACP3,ENSG00000014257,0,,Purine metabolism,0.9
ACP4,ENSG00000142513,0,,Nicotinate and nicotinamide metabolism,0.9
ACP5,ENSG00000102575,0,,Purine metabolism,0.9
ACP6,ENSG00000162836,0,,Nicotinate and nicotinamide metabolism,0.9
ACP7,ENSG00000183760,0,,Nicotinate and nicotinamide metabolism,0.9
ACSBG1,ENSG00000103740,0,,Fatty acid activation (cytosolic),0.9
ACSBG2,ENSG00000130377,0,,Fatty acid activation (cytosolic),0.9
ACSF2,ENSG00000167107,0,,Arachidonic acid metabolism,0.9
ACSF3,ENSG00000176715,0,,Arachidonic acid metabolism,0.9
ACSL1,ENSG00000151726,0,,Fatty acid activation (cytosolic),0.9
ACSL3,ENSG00000123983,0,,Fatty acid activation (cytosolic),0.9
ACSL4,ENSG00000068366,0,,Fatty acid activation (cytosolic),0.9
ACSL5,ENSG00000197142,0,,Fatty acid activation (cytosolic),0.9
ACSL6,ENSG00000164398,0,,Fatty acid activation (cytosolic),0.9
ACSM1,ENSG00000166743,0,,Fatty acid activation (cytosolic),0.9
ACSM2A,ENSG00000183747,0,,Fatty acid activation (cytosolic),0.9
ACSM2B,ENSG00000066813,0,,Fatty acid activation (cytosolic),0.9
ACSM3,ENSG00000005187,0,,Fatty acid activation (cytosolic),0.9
ACSM4,ENSG00000215009,0,,Fatty acid activation (cytosolic),0.9
ACSM5,ENSG00000183549,0,,Fatty acid activation (cytosolic),0.9
ACSS1,ENSG00000154930,0,,Propanoate metabolism,0.9
ACSS2,ENSG00000131069,0,,Propanoate metabolism,0.9
ACSS3,ENSG00000111058,0,,Propanoate metabolism,0.9
ACY1,ENSG00000243989,0,,Cysteine and methionine metabolism,0.9
ACY3,ENSG00000132744,0,,Histidine metabolism,0.9
ACYP1,ENSG00000119640,0,,Glycolysis / Gluconeogenesis,0.9
ACYP2,ENSG00000170634,0,,Glycolysis / Gluconeogenesis,0.9
ADA,ENSG00000196839,0,,Purine metabolism,0.9
ADA2,ENSG00000093072,0,,Purine metabolism,0.9
ADCY1,ENSG00000164742,0,,Purine metabolism,0.9
ADCY10,ENSG00000143199,0,,Purine metabolism,0.9
ADCY2,ENSG00000078295,0,,Purine metabolism,0.9
ADCY3,ENSG00000138031,0,,Purine metabolism,0.9
ADCY4,ENSG00000129467,0,,Purine metabolism,0.9
ADCY5,ENSG00000173175,0,,Purine metabolism,0.9
ADCY6,ENSG00000174233,0,,Purine metabolism,0.9
ADCY7,ENSG00000121281,0,,Purine metabolism,0.9
ADCY8,ENSG00000155897,0,,Purine metabolism,0.9
ADCY9,ENSG00000162104,0,,Purine metabolism,0.9
ADH1A,ENSG00000187758,0,,Glycerolipid metabolism,0.9
ADH1B,ENSG00000196616,0,,Glycerolipid metabolism,0.9
ADH1C,ENSG00000248144,0,,Glycerolipid metabolism,0.9
ADH4,ENSG00000198099,0,,Glycerolipid metabolism,0.9
ADH5,ENSG00000197894,0,,Glycerolipid metabolism,0.9
ADH6,ENSG00000172955,0,,Glycerolipid metabolism,0.9
ADH7,ENSG00000196344,0,0,Leukotriene metabolism,0.9
ADHFE1,ENSG00000147576,0,,Leukotriene metabolism,0.9
ADI1,ENSG00000182551,0,,Cysteine and methionine metabolism,0.9
ADK,ENSG00000156110,0,,Purine metabolism,0.9
ADO,ENSG00000181915,0,,Bile acid biosynthesis,0.9
ADPGK,ENSG00000159322,0,,Glycolysis / Gluconeogenesis,0.9
ADPRH,ENSG00000144843,0,,Protein modification,0.9
ADPRM,ENSG00000170222,0,,Glycerophospholipid metabolism,0.9
ADSL,ENSG00000239900,0,1,Purine metabolism,0.9
ADSS1,ENSG00000185100,0,,Purine metabolism,0.9
ADSS2,ENSG00000035687,0,,Purine metabolism,0.9
AFMID,ENSG00000183077,0,,"Phenylalanine, tyrosine and tryptophan b",0.9
AGA,ENSG00000038002,0,,Keratan sulfate degradation,0.9
AGK,ENSG00000006530,0,,Glycerolipid metabolism,0.9
AGL,ENSG00000162688,0,,Starch and sucrose metabolism,0.9
AGMAT,ENSG00000116771,0,,Arginine and proline metabolism,0.9
AGPAT1,ENSG00000204310,0,,Glycerophospholipid metabolism,0.9
AGPAT2,ENSG00000169692,0,,Glycerophospholipid metabolism,0.9
AGPAT3,ENSG00000160216,0,,Glycerophospholipid metabolism,0.9
AGPAT4,ENSG00000026652,0,,Glycerophospholipid metabolism,0.9
AGPAT5,ENSG00000155189,0,,Glycerophospholipid metabolism,0.9
AGPS,ENSG00000018510,0,,Glycerophospholipid metabolism,0.9
AGXT,ENSG00000172482,0,,"Glycine, serine and threonine metabolism",0.9
AGXT2,ENSG00000113492,0,,"Valine, leucine, and isoleucine metaboli",0.9
AHCY,ENSG00000101444,0,1,Cysteine and methionine metabolism,0.9
AHCYL2,ENSG00000158467,0,,Cysteine and methionine metabolism,0.9
AICDA,ENSG00000111732,0,0,Pyrimidine metabolism,0.9
AK1,ENSG00000106992,0,,Purine metabolism,0.9
AK2,ENSG00000004455,0,,Purine metabolism,0.9
AK3,ENSG00000147853,0,,Purine metabolism,0.9
AK4,ENSG00000162433,0,,Purine metabolism,0.9
AK5,ENSG00000154027,0,,Purine metabolism,0.9
AK6,ENSG00000085231,0,,Purine metabolism,0.9
AK7,ENSG00000140057,0,,Purine metabolism,0.9
AK8,ENSG00000165695,0,,Purine metabolism,0.9
AK9,ENSG00000155085,0,,Purine metabolism,0.9
AKR1A1,ENSG00000117448,0,,Glycerolipid metabolism,0.9
AKR1B1,ENSG00000085662,0,,Glycerolipid metabolism,0.9
AKR1B10,ENSG00000198074,0,,Glycerolipid metabolism,0.9
AKR1B15,ENSG00000227471,0,,Leukotriene metabolism,0.9
AKR1C1,ENSG00000187134,0,,Leukotriene metabolism,0.9
AKR1C2,ENSG00000151632,0,,Bile acid biosynthesis,0.9
AKR1C3,ENSG00000196139,0,,Prostaglandin biosynthesis,0.9
AKR1C4,ENSG00000198610,0,,Leukotriene metabolism,0.9
AKR1D1,ENSG00000122787,0,,Bile acid biosynthesis,0.9
AKR7A2,ENSG00000053371,0,,Xenobiotics metabolism,0.9
AKR7A3,ENSG00000162482,0,,Xenobiotics metabolism,0.9
ALAD,ENSG00000148218,0,,Porphyrin metabolism,0.9
ALAS1,ENSG00000023330,0,,"Glycine, serine and threonine metabolism",0.9
ALAS2,ENSG00000158578,0,,Porphyrin metabolism,0.9
ALB,ENSG00000163631,0,,Protein assembly,0.9
ALDH18A1,ENSG00000059573,0,,Pyruvate metabolism,0.9
ALDH1A1,ENSG00000165092,0,,Retinol metabolism,0.9
ALDH1A2,ENSG00000128918,0,,Retinol metabolism,0.9
ALDH1A3,ENSG00000184254,0,,Pyruvate metabolism,0.9
ALDH1B1,ENSG00000137124,0,,Tryptophan metabolism,0.9
ALDH1L1,ENSG00000144908,0,,Folate metabolism,0.9
ALDH1L2,ENSG00000136010,0,,Folate metabolism,0.9
ALDH2,ENSG00000111275,0,,Tryptophan metabolism,0.9
ALDH3A1,ENSG00000108602,0,,Pyruvate metabolism,0.9
ALDH3A2,ENSG00000072210,0,,Fatty acid oxidation,0.9
ALDH3B1,ENSG00000006534,0,,Pyruvate metabolism,0.9
ALDH3B2,ENSG00000132746,0,,Pyruvate metabolism,0.9
ALDH4A1,ENSG00000159423,0,,Vitamin C metabolism,0.9
ALDH5A1,ENSG00000112294,0,,Pyruvate metabolism,0.9
ALDH6A1,ENSG00000119711,0,,Pyruvate metabolism,0.9
ALDH7A1,ENSG00000164904,0,,Glycerolipid metabolism,0.9
ALDH8A1,ENSG00000118514,0,,Arginine and proline metabolism,0.9
ALDH9A1,ENSG00000143149,0,,Glycerolipid metabolism,0.9
ALDOA,ENSG00000149925,0,,Fructose and mannose metabolism,0.9
ALDOB,ENSG00000136872,0,,Galactose metabolism,0.9
ALDOC,ENSG00000109107,0,,Glycolysis / Gluconeogenesis,0.9
ALG1,ENSG00000033011,0,1,N-glycan metabolism,0.9
ALG10,ENSG00000139133,0,,N-glycan metabolism,0.9
ALG10B,ENSG00000175548,0,,N-glycan metabolism,0.9
ALG11,ENSG00000253710,0,,N-glycan metabolism,0.9
ALG12,ENSG00000182858,0,,N-glycan metabolism,0.9
ALG13,ENSG00000101901,0,,N-glycan metabolism,0.9
ALG14,ENSG00000172339,0,1,N-glycan metabolism,0.9
ALG1L2,ENSG00000251287,0,,Sphingolipid metabolism,0.9
ALG2,ENSG00000119523,0,1,N-glycan metabolism,0.9
ALG3,ENSG00000214160,0,,N-glycan metabolism,0.9
ALG5,ENSG00000120697,0,,N-glycan metabolism,0.9
ALG6,ENSG00000088035,0,,N-glycan metabolism,0.9
ALG8,ENSG00000159063,0,,N-glycan metabolism,0.9
ALG9,ENSG00000086848,0,,N-glycan metabolism,0.9
ALLC,ENSG00000151360,0,,Purine metabolism,0.9
ALOX12,ENSG00000108839,0,,Arachidonic acid metabolism,0.9
ALOX12B,ENSG00000179477,0,,"Valine, leucine, and isoleucine metaboli",0.9
ALOX15,ENSG00000161905,0,,Arachidonic acid metabolism,0.9
ALOX15B,ENSG00000179593,0,,Arachidonic acid metabolism,0.9
ALOX5,ENSG00000012779,0,,Arachidonic acid metabolism,0.9
ALOXE3,ENSG00000179148,0,,"Valine, leucine, and isoleucine metaboli",0.9
ALPG,ENSG00000163286,0,0,Glycerophospholipid metabolism,0.9
ALPI,ENSG00000163295,0,0,Glycerophospholipid metabolism,0.9
ALPL,ENSG00000162551,0,,Glycerophospholipid metabolism,0.9
ALPP,ENSG00000163283,0,,Glycerophospholipid metabolism,0.9
AMACR,ENSG00000242110,0,,Bile acid biosynthesis,0.9
AMD1,ENSG00000123505,0,,Arginine and proline metabolism,0.9
AMDHD1,ENSG00000139344,0,,Histidine metabolism,0.9
AMDHD2,ENSG00000162066,0,,Amino sugar and nucleotide sugar metabol,0.9
AMFR,ENSG00000159461,0,,Isolated,0.9
AMN,ENSG00000166126,0,,Transport reactions,0.9
AMPD1,ENSG00000116748,0,,Purine metabolism,0.9
AMPD2,ENSG00000116337,0,,Purine metabolism,0.9
AMPD3,ENSG00000133805,0,,Purine metabolism,0.9
AMT,ENSG00000145020,0,,"Glycine, serine and threonine metabolism",0.9
AMY1A,ENSG00000237763,0,,Starch and sucrose metabolism,0.9
AMY1B,ENSG00000174876,0,,Starch and sucrose metabolism,0.9
AMY1C,ENSG00000187733,0,,Starch and sucrose metabolism,0.9
AMY2A,ENSG00000243480,0,,Starch and sucrose metabolism,0.9
AMY2B,ENSG00000240038,0,,Starch and sucrose metabolism,0.9
ANAPC11,ENSG00000141552,0,,Fatty acid biosynthesis,0.9
ANPEP,ENSG00000166825,0,,Glutathione metabolism,0.9
ANXA3,ENSG00000138772,0,,Isolated,0.9
AOAH,ENSG00000136250,0,,Isolated,0.9
AOC1,ENSG00000002726,0,,Arginine and proline metabolism,0.9
AOC2,ENSG00000131480,0,,Arginine and proline metabolism,0.9
AOC3,ENSG00000131471,0,,"Glycine, serine and threonine metabolism",0.9
AOX1,ENSG00000138356,0,,"Valine, leucine, and isoleucine metaboli",0.9
AP1G1,ENSG00000166747,0,,Transport reactions,0.9
APIP,ENSG00000149089,0,,Cysteine and methionine metabolism,0.9
APOB,ENSG00000084674,0,,Protein assembly,0.9
APOBEC4,ENSG00000173627,0,,Pyrimidine metabolism,0.9
APOC1,ENSG00000130208,0,,Protein assembly,0.9
APOC2,ENSG00000234906,0,,Protein assembly,0.9
APOC3,ENSG00000110245,0,,Protein assembly,0.9
APOE,ENSG00000130203,0,,Protein assembly,0.9
APRT,ENSG00000198931,0,,Purine metabolism,0.9
AQP1,ENSG00000240583,0,,Transport reactions,0.9
AQP10,ENSG00000143595,0,,Transport reactions,0.9
AQP2,ENSG00000167580,0,,Transport reactions,0.9
AQP3,ENSG00000165272,0,,Transport reactions,0.9
AQP4,ENSG00000171885,0,,Transport reactions,0.9
AQP5,ENSG00000161798,0,,Transport reactions,0.9
AQP6,ENSG00000086159,0,,Transport reactions,0.9
AQP7,ENSG00000165269,0,,Transport reactions,0.9
AQP8,ENSG00000103375,0,0,Transport reactions,0.9
AQP9,ENSG00000103569,0,,Transport reactions,0.9
ARCN1,ENSG00000095139,0,1,Transport reactions,0.9
ARG1,ENSG00000118520,0,,Arginine and proline metabolism,0.9
ARG2,ENSG00000081181,0,,Arginine and proline metabolism,0.9
ARID4B,ENSG00000054267,0,,Histidine metabolism,0.9
ARSA,ENSG00000100299,0,,Glycosphingolipid metabolism,0.9
ARSB,ENSG00000113273,0,,Chondroitin sulfate degradation,0.9
