line,target,confidence,sign,machine,n_convergent_KOs,in_named_complex,coherence_p,converging_KOs
HepG2,VPS25,0.8,down,mRNA Splicing - Minor Pathway,13,4,1.6215159934336275e-11,SNRNP35|PEX1|ZRSR2|SPDL1|POLR3A|RNPC3|SNRNP25|HSPH1|POLR3K|ANAPC5
HepG2,POLR2E,0.8,down,mRNA Splicing - Minor Pathway,10,4,4.765269350296281e-12,ZBTB14|SNRNP35|TMEM258|SNRNP48|ZRSR2|CAP1|PPP1R12A|SNRNP25|MST1|BUB1B
HepG2,RCC1,0.8,up,mRNA cleavage and polyadenylation specificity factor complex,9,4,7.420841010723242e-11,PHF10|CPSF1|CPSF3|CPSF4|CSTF3|SSU72|CSTF1|UQCRH|ITGB1BP1
HepG2,MSRB2,0.8,up,SAGA complex,7,4,1.0030691787245183e-10,TRRAP|HNRNPH1|TELO2|SUPT20H|TCERG1|TADA1|TAF6L
HepG2,SCO2,0.8,up,RNA N6-methyladenosine methyltransferase complex,7,4,5.616210140335636e-12,ZC3H13|METTL3|METTL14|ZNHIT1|RBM15|RNF123|MAD2L2
HepG2,CDKN2A,0.75,up,eukaryotic translation initiation factor 3 complex,13,4,4.2012323328534235e-10,EIF3M|EIF3B|EIF3D|PPIE|BDP1|EIF3A|RFFL|ZC3H18|SNRNP200|THOC5
HepG2,AGR2,0.748,up,eukaryotic 48S preinitiation complex,15,4,4.410865775212151e-10,EIF3I|GBF1|EIF3G|EIF2S1|EIF2S3|EIF3B|HSPA5|SEC61A1|VCP|SRSF3
HepG2,NDUFB8,0.677,down,histone acetyltransferase complex,13,4,3.43596392310629e-09,KANSL2|NRF1|KANSL1|SNRNP27|CHCHD3|MCRS1|HSPH1|YY1|ZNHIT1|KAT8
HepG2,SNRNP40,0.676,down,Ino80 complex,3,3,2.2074670062096482e-10,ACTR8|INO80B|NFRKB
HepG2,LAMTOR2,0.667,up,RNA N6-methyladenosine methyltransferase complex,3,3,2.943289341612864e-10,CBLL1|METTL14|METTL3
HepG2,SRPRB,0.649,up,Sec61 translocon complex,6,3,5.349244695216636e-10,SEC61G|SEC61A1|SEC61B|ALG1|SPCS3|MSRB1
HepG2,KDELR3,0.643,up,TRAPPIII protein complex,10,3,6.419677561544968e-10,GBF1|TMED10|COG3|GOSR2|CAMLG|TRAPPC5|PREB|EARS2|TRAPPC8|TRAPPC11
HepG2,BAG1,0.639,up,nonsense-mediated decay complex,8,3,7.48860183332074e-10,SMG7|SMG5|RBM8A|UPF2|UPF1|CLOCK|EIF3L|STRAP
HepG2,DNAJB9,0.632,up,Sec61 translocon complex,7,3,9.35990068967227e-10,VCP|SEC61G|NPLOC4|SLC39A7|SEC61A1|SEC61B|RPL41
HepG2,LETMD1,0.626,up,nonsense-mediated decay complex,9,3,1.1231880678827615e-09,NUP155|CPSF2|SMG5|EIF4A3|UPF2|RBM8A|MAGOH|SMG7|SLC7A5
HepG2,PSMA1,0.618,down,mRNA Splicing - Minor Pathway,6,3,1.497379725872686e-09,SNRNP35|PDCD7|ZCRB1|INPPL1|CWC25|ZBTB17
HepG2,SF3B5,0.617,down,nuclear pore,7,4,1.9643054773777558e-08,TPR|MCM3AP|CSTF1|PTCD3|NUP214|XPO5|NXF1
HepG2,F2RL1,0.597,up,eukaryotic translation initiation factor 3 complex,4,3,2.9950316733859285e-09,EIF3M|FARSB|EIF3D|EIF3E
HepG2,SSBP1,0.583,down,mRNA Polyadenylation,8,4,5.2118110539791114e-08,FIP1L1|CSTF3|CPSF4|PHF10|CSTF1|RPTOR|NUP54|HMGA1
HepG2,STEAP1,0.561,up,eukaryotic 48S preinitiation complex,6,3,9.72499993120386e-09,EIF3G|EIF2S1|EIF2S3|EIF3I|CHMP3|SGPP1
HepG2,SAR1A,0.559,up,RNA N6-methyladenosine methyltransferase complex,7,3,1.028465424844988e-08,YTHDC1|METTL14|CBLL1|METTL3|SNRPA|EEF1A1|COG6
HepG2,TRIM8,0.548,up,nuclear exosome (RNase complex),6,3,1.4957453641291465e-08,TAF7|MTREX|EXOSC9|EXOSC7|EIF1AD|SEPHS2
HepG2,OAT,0.544,up,INTAC complex,7,3,1.7010234441394497e-08,INTS2|INTS5|INTS8|LEO1|VHL|OR2T29|ENO1
HepG2,PCNP,0.543,down,protein folding chaperone complex,5,3,1.7764397848872485e-08,HMGN2|CDC37|WDR83OS|PSMG1|LIN54
HepG2,GLIPR1,0.541,up,chaperonin-containing T-complex,11,3,1.8502273374102633e-08,FARSB|CCT3|WDR1|ESPL1|CCT7|FARSA|DNM2|CCT6A|TCP1|ACTB
HepG2,SEC24D,0.537,up,TRAPP complex,7,3,2.125892296167488e-08,GOSR2|OR7A10|TRAPPC5|TRAPPC3|CBLN1|TRAPPC11|HSCB
HepG2,NUCB2,0.531,up,Sec61 translocon complex,19,3,2.5871137298363158e-08,HSPA5|SEC61G|VCP|SEC61A1|SEC61B|DERL2|DHDDS|SLC35B1|HYOU1|SLC39A7
HepG2,ARF4,0.529,up,endoplasmic reticulum-Golgi intermediate compartment,12,4,2.466843073685146e-07,GBF1|COPB1|TMED10|GOSR2|CAMLG|PREB|CHCHD3|TMED2|RAC3|BET1
HepG2,ACTA1,0.525,up,chaperonin-containing T-complex,13,3,3.205310033283074e-08,WDR1|ACTB|CAPZB|CCT7|CCT4|CCT5|IPO7|ATXN10|NDUFB3|COX15
HepG2,CRYAB,0.477,up,ESCRT I complex,19,3,1.5477544678643815e-07,CHMP6|CHMP2A|VPS28|UBAP1|TSG101|PTPN23|CLTC|NEDD8|DNM2|NUF2
HepG2,CD55,0.468,up,Cristae formation,7,3,2.0940849715474847e-07,HSPA9|ATP5F1B|ATP5F1A|IARS2|AFG3L2|MRPS33|MRPL32
HepG2,NSMF,0.459,up,SUMO is conjugated to E1 (UBA2:SAE1),3,2,2.2061291474180054e-08,UBE2I|SAE1|UBA2
HepG2,RNF145,0.454,up,mRNA Splicing - Major Pathway,4,3,3.317781255695157e-07,BUD13|FAM50A|BUD31|TCERG1
HepG2,YIPF2,0.451,up,SNARE complex,10,3,3.666704519211572e-07,GOSR2|TMED10|RAC3|BET1|CAMLG|STX5|NSF|MRPS16|ANAPC11|CD8B
Jurkat,MLLT11,1.0,up,proteasome complex,23,10,9.555221703093695e-22,PCM1|PSMC2|NPLOC4|UQCC2|PSMC4|PSMB7|PSMC3|PSMC6|PSMC1|DENR
Jurkat,EPM2AIP1,1.0,up,Nuclear RNA decay,14,7,1.7405079666421532e-16,MTREX|EXOSC2|EXOSC9|ZFC3H1|EXOSC7|ZC3H3|DIS3|MBNL1|ZBTB4|SPAG7
Jurkat,ST3GAL2,1.0,up,Nuclear RNA decay,6,6,3.24569578932582e-17,EXOSC6|EXOSC3|EXOSC2|EXOSC4|EXOSC8|ZC3H3
Jurkat,ZNF280D,1.0,up,Nuclear RNA decay,12,10,1.0383563464016199e-26,MTREX|EXOSC4|EXOSC2|EXOSC5|DIS3|EXOSC7|EXOSC8|WDR82|EXOSC9|MBNL1
Jurkat,SOX11,1.0,up,Nuclear RNA decay,20,12,3.3487120332429657e-29,MTREX|EXOSC2|DIS3|EXOSC4|EXOSC7|EXOSC8|EXOSC3|EXOSC5|EXOSC9|ZFC3H1
Jurkat,PPP1R10,1.0,up,nuclear exosome (RNase complex),12,10,1.2912059172672475e-30,EXOSC2|EXOSC5|EXOSC8|EXOSC4|MTREX|EXOSC9|DIS3|EXOSC6|EXOSC3|EXOSC7
Jurkat,TMEM116,1.0,up,Nuclear RNA decay,9,9,1.1302266868334975e-25,MTREX|EXOSC2|EXOSC9|EXOSC8|EXOSC4|ZC3H3|DIS3|EXOSC7|ZFC3H1
Jurkat,BANP,1.0,up,Nuclear RNA decay,10,9,1.1288073036861665e-24,EXOSC6|EXOSC4|EXOSC2|EXOSC7|EXOSC3|EXOSC5|EXOSC8|MTREX|ZC3H3|MBNL1
Jurkat,ANKRD54,1.0,up,nuclear exosome (RNase complex),8,7,1.3911655967958082e-21,MTREX|EXOSC3|EXOSC7|EXOSC8|EXOSC4|EXOSC2|EXOSC9|PPIL1
Jurkat,UBXN4,1.0,down,mRNA Splicing - Minor Pathway,8,6,2.807458364789682e-20,SNRNP25|PRPF38B|SNRNP48|ZMAT5|PDCD7|SNRNP35|ZCRB1|UQCRC1
