source,n_members,set,best_single_ORACLE,random_single,graph_chosen_single,random_set,mean_single
EXOSC9,21,0.5404936075210571,0.5541813373565674,0.19119429001584648,0.5216314792633057,0.1562190752476454,0.2017105145690342
FAM50A,9,0.23228302597999573,0.28428059816360474,0.09804012209642679,0.2326309084892273,-0.04147359803318977,0.09771550759776598
FARSA,4,0.23049190640449524,0.40842729806900024,0.1623219722881913,0.40842729806900024,-0.012422609468922019,0.1170726204290986
FARSB,3,0.24886848032474518,0.40842729806900024,0.21357906125485898,0.40842729806900024,-0.02624799394980073,0.14345530172189078
FAU,164,0.6021111607551575,0.5781882405281067,0.19867928722524084,0.5417947769165039,-0.10041859871707856,0.19086761767468444
FBL,74,0.7527719140052795,0.6718743443489075,0.480622685700655,0.567865788936615,0.10132614080794156,0.38653697432144674
FCF1,62,0.7909294366836548,0.6858241558074951,0.45325682163238523,0.37970536947250366,0.04440622224938125,0.5021761282677611
FTSJ3,80,-0.0014913049526512623,0.16603483259677887,-0.00604465245269239,0.04145635664463043,0.09646757781156338,-0.0005337319104000926
GAB2,6,-0.07827265560626984,-0.007251294795423746,-0.03642827603034675,-0.04207387939095497,-0.014497282408410684,-0.03443214988025526
GATA1,3,0.2806010842323303,0.4439193606376648,0.17744180634617807,-0.1277577430009842,0.04897689716890454,0.16183567543824515
GINS1,21,0.5342039465904236,0.553336501121521,0.2285428333096206,0.43886739015579224,-0.10450966571079334,0.17749236603932722
GPN1,19,0.5349692702293396,0.5040572285652161,0.14323224914842286,0.14065594971179962,-0.012511558843834791,0.21558404876237833
GPN2,5,0.43838125467300415,0.360000878572464,0.3073934331536293,0.33133620023727417,0.08351924019516446,0.2989920437335968
GPN3,29,0.6489806771278381,0.6187485456466675,0.24690242428332568,0.12081818282604218,0.13066642684862018,0.24002622723065573
GTF2A1,57,0.37640970945358276,0.2954022288322449,0.17441392177715898,0.18250685930252075,0.13051861114799976,0.16101773664878125
HBS1L,88,0.053777966648340225,0.3851333558559418,0.009632262820377945,-0.015443599782884121,0.41125886142253876,0.028170663253976356
HEATR1,57,0.6090350151062012,0.6222516894340515,0.3945246279239655,0.3601634204387665,0.25756329111754894,0.40056402118582474
HGS,39,0.18345969915390015,0.273215651512146,0.0368038026150316,-0.03379565849900246,0.05662611465668306,0.037621696097537495
HNRNPC,64,0.11394679546356201,0.20840370655059814,0.004294844780815765,0.0666186511516571,0.06387551367370178,0.019354197864231537
HSPA5,22,0.1210782527923584,0.4265866279602051,0.021523564588278532,0.02566467970609665,-0.06677857485337882,0.029459204143759878
HSPA9,20,0.5498784780502319,0.6516066193580627,0.14900458013871684,0.1757097989320755,0.09837484901072457,0.1810890276276041
IARS2,9,0.04710002616047859,0.1848265826702118,0.01733864676207304,-0.007986518554389477,-0.010868606460280716,0.017843857407569885
IMP4,74,0.7898645997047424,0.6993524432182312,0.4473215420730412,0.5993835926055908,0.08301974781497848,0.46673085553118504
INTS2,26,0.6041317582130432,0.7170311212539673,0.27002972196787595,0.05523787811398506,0.2342365499585867,0.23242405207397845
INTS4,26,0.40366148948669434,0.5761328339576721,0.16827266635373234,0.3073248565196991,0.10949588390067219,0.1558521964515631
INTS5,27,0.4159327745437622,0.6648555397987366,0.14655095199123025,0.12207979708909988,0.12919520102441312,0.15249269824750997
INTS7,26,0.43587324023246765,0.5642908215522766,0.12549353931099178,0.3073248565196991,0.12188410675153136,0.16777071543037891
INTS8,26,0.48497623205184937,0.7170311212539673,0.2255284994840622,0.10063721984624863,0.18883471004664898,0.18869051944392806
INTS9,27,0.4554356038570404,0.5761328339576721,0.22343599992454982,-0.0018548312364146113,0.14751187014626338,0.17135271830570506
KPNB1,40,0.16558881103992462,0.2544023394584656,0.015584483393467963,0.0771254152059555,-0.0017173308762721718,0.033209731405077034
KRR1,125,0.7717843651771545,0.6825315356254578,0.33452205194626006,0.6625720858573914,-0.13276108745485543,0.3619411960504949
LSM2,70,0.7225313186645508,0.6793377995491028,0.3594830119982362,0.6793377995491028,-0.029473817744292318,0.3015070669263618
LSM6,74,0.7136690020561218,0.7051506638526917,0.2954381711781025,0.5056551694869995,-0.014107072120532393,0.28584254802380865
MAX,23,0.1368875354528427,0.43310853838920593,0.007979977317154408,0.024336284026503563,0.07170757649000734,0.032600543421247734
MED1,59,0.6899462938308716,0.667754590511322,0.31655675210058687,0.5222448110580444,0.33955497294664383,0.2932393453320709
MED10,55,0.6506638526916504,0.6179677248001099,0.3014922317117453,0.4031056761741638,0.31345503553748133,0.2854571160945025
MED11,56,0.6385192275047302,0.6243773698806763,0.37045417055487634,0.4884844124317169,0.31879489198327066,0.27828649496327024
MED12,25,0.745822012424469,0.7000941634178162,0.30775183290243147,0.6387524008750916,0.4656836226582527,0.3744184738025069
MED14,58,0.5675286650657654,0.5458549857139587,0.31695214975625274,0.5222448110580444,0.3602980703115463,0.24536687450419212
MED17,57,0.687333345413208,0.6888316869735718,0.33915115259587764,0.5208269357681274,0.42017682641744614,0.30624085315094707
MED19,58,0.6306701302528381,0.6778301000595093,0.3228427535810624,0.6183028817176819,0.3946707397699356,0.2721933842268331
MED20,55,0.5827698707580566,0.5299074649810791,0.2862153513357043,0.49920976161956787,0.2882261581718922,0.2553416432982141
MED21,58,0.6033234000205994,0.604425847530365,0.3012034293264151,0.3703164756298065,0.3386102892458439,0.255059276964387
MED22,61,0.6019802093505859,0.6340479254722595,0.2787726979702711,0.5040506720542908,0.38684415966272356,0.23557106139649805
MED28,56,0.5781627893447876,0.5683525800704956,0.2646589952521026,0.5224028825759888,0.30447538793087003,0.25646585448911147
MED29,62,0.5007318258285522,0.452138751745224,0.19705362941604107,0.35609352588653564,0.23478030264377595,0.1935528279207046
MED30,56,0.7494361400604248,0.7000941634178162,0.2763165157288313,0.5857053995132446,0.46640307903289796,0.32257579386766466
