tax_id	scientific_name	clade	human_genes_with_ortholog
586833	Myripristis murdjan	ray_finned_fish	10017
34773	Alosa sapidissima	ray_finned_fish	10010
196075	Sprattus sprattus	ray_finned_fish	10001
54374	Mesitornis unicolor	bird	9996
66913	Ictalurus furcatus	ray_finned_fish	9993
443677	Neoarius graeffei	ray_finned_fish	9991
39042	Chaetodon auriga	ray_finned_fish	9984
3034132	Rhinichthys klamathensis goyatoka	ray_finned_fish	9970
2972642	Amia ocellicauda	ray_finned_fish	9964
175836	Buceros rhinoceros silvestris	bird	9958
150448	Aulostomus chinensis	ray_finned_fish	9949
8173	Pagrus pagrus	ray_finned_fish	9939
83875	Trachurus japonicus	ray_finned_fish	9936
283036	Sander vitreus	ray_finned_fish	9931
443729	Trachinotus anak	ray_finned_fish	9931
32509	Perissodus microlepis	ray_finned_fish	9922
394691	Sebastes fasciatus	ray_finned_fish	9921
163618	Copadichromis virginalis	ray_finned_fish	9919
64144	Anabas testudineus	ray_finned_fish	9912
27697	Sardina pilchardus	ray_finned_fish	9892
205130	Mastacembelus armatus	ray_finned_fish	9892
941984	Toxotes jaculatrix	ray_finned_fish	9884
137080	Garra rufa	ray_finned_fish	9883
56726	Pholis gunnellus	ray_finned_fish	9882
8167	Perca flavescens	ray_finned_fish	9879
7918	Lepisosteus oculatus	ray_finned_fish	9876
35575	Mchenga conophoros	ray_finned_fish	9874
219752	Odontesthes bonariensis	ray_finned_fish	9874
426098	Eutrigla gurnardus	ray_finned_fish	9871
215358	Larimichthys crocea	ray_finned_fish	9870
420107	Neolamprologus multifasciatus	ray_finned_fish	9866
8237	Thunnus thynnus	ray_finned_fish	9864
8236	Thunnus albacares	ray_finned_fish	9862
13489	Dicentrarchus labrax	ray_finned_fish	9862
75038	Scatophagus argus	ray_finned_fish	9862
304217	Rhamphochromis longiceps	ray_finned_fish	9862
286572	Aulonocara stuartgranti	ray_finned_fish	9854
293821	Epinephelus fuscoguttatus	ray_finned_fish	9853
8255	Paralichthys olivaceus	ray_finned_fish	9847
8240	Thunnus maccoyii	ray_finned_fish	9846
48171	Chelon labrosus	ray_finned_fish	9845
3127111	Pempheris klunzingeri	ray_finned_fish	9845
3705843	Aulonocara sp. 'chitande type north' Nkhata Bay	ray_finned_fish	9841
100190	Embiotoca jacksoni	ray_finned_fish	9840
8245	Xiphias gladius	ray_finned_fish	9839
8128	Oreochromis niloticus	ray_finned_fish	9837
215367	Enoplosus armatus	ray_finned_fish	9836
106582	Maylandia zebra	ray_finned_fish	9834
65739	Anarhichas minor	ray_finned_fish	9832
94984	Echiichthys vipera	ray_finned_fish	9831
109706	Chaetodon trifascialis	ray_finned_fish	9831
173247	Echeneis naucrates	ray_finned_fish	9831
8177	Acanthopagrus latus	ray_finned_fish	9830
215402	Channa argus	ray_finned_fish	9830
147232	Halichoeres trimaculatus	ray_finned_fish	9829
454631	Rhamphochromis sp. 'chilingali'	ray_finned_fish	9829
2871759	Seriola aureovittata	ray_finned_fish	9821
29151	Osmerus eperlanus	ray_finned_fish	9820
283035	Sander lucioperca	ray_finned_fish	9818
184440	Centropristis striata	ray_finned_fish	9814
241346	Semicossyphus pulcher	ray_finned_fish	9814
32473	Xiphophorus couchianus	ray_finned_fish	9813
36212	Trachurus trachurus	ray_finned_fish	9803
41447	Seriola dumerili	ray_finned_fish	9800
109905	Chelmon rostratus	ray_finned_fish	9799
163623	Diplotaxodon limnothrissa	ray_finned_fish	9795
355514	Leuresthes tenuis	ray_finned_fish	9793
8175	Sparus aurata	ray_finned_fish	9785
8081	Poecilia reticulata	ray_finned_fish	9783
215343	Fistularia commersonii	ray_finned_fish	9782
8014	Osmerus mordax	ray_finned_fish	9780
119488	Siniperca chuatsi	ray_finned_fish	9777
143350	Pagrus major	ray_finned_fish	9773
61643	Taurulus bubalis	ray_finned_fish	9770
8154	Astatotilapia calliptera	ray_finned_fish	9767
100188	Brachyistius frenatus	ray_finned_fish	9766
300413	Epinephelus moara	ray_finned_fish	9766
30455	Fulmarus glacialis	bird	9755
52904	Scophthalmus maximus	ray_finned_fish	9754
56720	Lipophrys pholis	ray_finned_fish	9753
1250792	Melanotaenia boesemani	ray_finned_fish	9747
195615	Hippoglossus stenolepis	ray_finned_fish	9743
508554	Labrus mixtus	ray_finned_fish	9741
8260	Platichthys flesus	ray_finned_fish	9729
72105	Sebastes umbrosus	ray_finned_fish	9726
8168	Perca fluviatilis	ray_finned_fish	9721
63155	Archocentrus centrarchus	ray_finned_fish	9719
7950	Clupea harengus	ray_finned_fish	9718
47969	Oreochromis aureus	ray_finned_fish	9712
64108	Zeus faber	ray_finned_fish	9711
146480	Ammodytes marinus	ray_finned_fish	9704
90069	Solea solea	ray_finned_fish	9700
1091424	Melanostigma gelatinosum	ray_finned_fish	9697
1841481	Seriola lalandi dorsalis	ray_finned_fish	9694
80972	Amphiprion ocellaris	ray_finned_fish	9688
56723	Labrus bergylta	ray_finned_fish	9687
158456	Betta splendens	ray_finned_fish	9686
171736	Symphodus melops	ray_finned_fish	9685
210632	Parambassis ranga	ray_finned_fish	9682
8084	Xiphophorus hellerii	ray_finned_fish	9681
184585	Engraulis encrasicolus	ray_finned_fish	9679
56733	Eleginops maclovinus	ray_finned_fish	9677
303518	Pundamilia nyererei	ray_finned_fish	9677
304258	Clinocottus analis	ray_finned_fish	9670
229290	Anoplopoma fimbria	ray_finned_fish	9668
8083	Xiphophorus maculatus	ray_finned_fish	9665
8267	Hippoglossus hippoglossus	ray_finned_fish	9665
473354	Borostomias antarcticus	ray_finned_fish	9665
446457	Telmatherina bonti	ray_finned_fish	9663
154954	Genypterus blacodes	ray_finned_fish	9662
13676	Scomber japonicus	ray_finned_fish	9654
134920	Pungitius pungitius	ray_finned_fish	9654
43700	Monopterus albus	ray_finned_fish	9652
13677	Scomber scombrus	ray_finned_fish	9649
241271	Cheilinus undulatus	ray_finned_fish	9641
299321	Denticeps clupeoides	ray_finned_fish	9634
303726	Nelusetta ayraudi	ray_finned_fish	9633
90074	Microchirus variegatus	ray_finned_fish	9631
69293	Gasterosteus aculeatus	ray_finned_fish	9626
8262	Pleuronectes platessa	ray_finned_fish	9618
37003	Kryptolebias marmoratus	ray_finned_fish	9614
48193	Mugil cephalus	ray_finned_fish	9614
80966	Acanthochromis polyacanthus	ray_finned_fish	9611
240206	Pterocles gutturalis	bird	9610
161450	Doryrhamphus excisus	ray_finned_fish	9607
33528	Gambusia affinis	ray_finned_fish	9605
27771	Limanda limanda	ray_finned_fish	9598
8187	Lates calcarifer	ray_finned_fish	9589
105023	Nothobranchius furzeri	ray_finned_fish	9586
43689	Simochromis diagramma	ray_finned_fish	9585
85417	Gobius niger	ray_finned_fish	9583
101497	Notothenia rossii	ray_finned_fish	9577
147949	Micropterus dolomieu	ray_finned_fish	9574
185739	Pollachius pollachius	ray_finned_fish	9574
27687	Erpetoichthys calabaricus	ray_finned_fish	9570
443705	Nansenia antarctica	ray_finned_fish	9567
1914718	Filicampus tigris	ray_finned_fish	9566
8103	Cyclopterus lumpus	ray_finned_fish	9563
278164	Alosa alosa	ray_finned_fish	9562
8090	Oryzias latipes	ray_finned_fish	9548
1095086	Leptonotus elevatus	ray_finned_fish	9524
158779	Pelmatolapia mariae	ray_finned_fish	9520
241820	Antennarius striatus	ray_finned_fish	9517
8153	Haplochromis burtoni	ray_finned_fish	9515
195075	Blennius ocellaris	ray_finned_fish	9511
1090481	Gymnoscopelus microlampas	ray_finned_fish	9498
2546036	Lampris incognitus	ray_finned_fish	9494
144197	Stegastes partitus	ray_finned_fish	9493
30732	Oryzias melastigma	ray_finned_fish	9488
77115	Cyprinodon tularosa	ray_finned_fish	9487
40690	Trematomus bernacchii	ray_finned_fish	9486
8049	Gadus morhua	ray_finned_fish	9473
642989	Vanacampus margaritifer	ray_finned_fish	9473
32507	Neolamprologus brichardi	ray_finned_fish	9464
57397	Apaloderma vittatum	bird	9462
244447	Cynoglossus semilaevis	ray_finned_fish	9448
417921	Etheostoma cragini	ray_finned_fish	9441
409849	Periophthalmus magnuspinnatus	ray_finned_fish	9437
88708	Poromitra crassiceps	ray_finned_fish	9425
57421	Merops nubicus	bird	9417
948025	Gymnoscopelus braueri	ray_finned_fish	9409
375764	Sphaeramia orbicularis	ray_finned_fish	9408
28829	Solea senegalensis	ray_finned_fish	9406
113540	Scleropages formosus	ray_finned_fish	9404
433405	Anarrhichthys ocellatus	ray_finned_fish	9404
1073243	Festucalex cinctus	ray_finned_fish	9396
27720	Hoplias malabaricus	ray_finned_fish	9393
443714	Protomyctophum bolini	ray_finned_fish	9392
161587	Syngnathus leptorhynchus	ray_finned_fish	9389
27706	Micropterus salmoides	ray_finned_fish	9377
