word,n_ess,n_non,pct_ess,pct_non,enrichment,log_odds
-dependent,56,45,0.6397806466354392,0.19004180919802355,3.3665257625956815,1.2180276407910355
iron-sulfur,38,31,0.43413686735976237,0.13091769078086068,3.3161054458747787,1.2012985864328787
cell,62,51,0.7083285730606649,0.21538071709109335,3.2887278983340167,1.1951301704233535
recognition,17,14,0.19421912487147264,0.059124118417162884,3.284939041308286,1.189525578879608
flavoprotein,23,19,0.26276705129669825,0.08023987499472106,3.2747689513971148,1.187210729234124
transposase,30,25,0.3427396321261282,0.10557878288779086,3.246292699645836,1.1792355851735685
factor,394,350,4.501313835256483,1.478102960429072,3.0453317230010937,1.1447307053059599
biogenesis,30,26,0.3427396321261282,0.10980193420330249,3.1214352881209964,1.140008990442566
smtb,16,14,0.18279447046726838,0.059124118417162884,3.0917073329960343,1.1288186579338015
signal,37,33,0.42271221295555816,0.13936399341188394,3.0331522698711093,1.1119631501348
diphosphate,19,17,0.21706843367988118,0.0717935723636978,3.0235079065328865,1.1069412293573437
transaminase,39,35,0.44556152176396663,0.1478102960429072,3.014414649671133,1.105940133522119
carrier,38,35,0.43413686735976237,0.1478102960429072,2.9371219663462322,1.079855800822508
adenosine,25,24,0.2856163601051068,0.10135563157227924,2.81796241288701,1.0372241733396805
chain,26,25,0.2970410145093111,0.10557878288779086,2.813453673026391,1.0357211623426386
carboxylase,33,32,0.377013595338741,0.1351408420963723,2.78978278875814,1.0279141874578066
transcription,121,119,1.382383182908717,0.5025550065458845,2.7507102006802953,1.0206145471739978
gntr,32,32,0.36558894093453675,0.1351408420963723,2.7052439163715296,0.9970361431756505
amidotransferase,28,28,0.3198903233177196,0.11824823683432577,2.7052439163715296,0.9966801643329948
gtp,22,22,0.251342396892494,0.09290932894125596,2.70524391637153,0.9961011869547232
udp-n-acetylglucosamine,18,18,0.2056437792756769,0.07601672367920942,2.7052439163715296,0.9956617022931011
arsr,16,16,0.18279447046726838,0.06757042104818616,2.7052439163715296,0.9954138337659284
synthetase,55,56,0.628355992231235,0.23649647366865154,2.656935989293467,0.9808455729586543
synthase,554,589,6.3292585399291665,2.487436124836353,2.5444908822917274,0.9741014870726721
lipid,26,27,0.2970410145093111,0.11402508551881414,2.6050496972466584,0.958745661487626
ferredoxin,34,36,0.3884382497429453,0.15203344735841884,2.5549525876842227,0.9400039936440177
electron,24,26,0.27419170570090257,0.10980193420330249,2.497148230496797,0.9162507572483172
carbamoyltransferase,19,21,0.21706843367988118,0.08868617762574432,2.4476016386218604,0.8957280511461967
s-methyltransferase,19,21,0.21706843367988118,0.08868617762574432,2.4476016386218604,0.8957280511461967
iclr,18,20,0.2056437792756769,0.0844630263102327,2.4347195247343767,0.8903480416701264
response,160,182,1.8279447046726836,0.7686135394231176,2.378236409996949,0.8770165611991931
-phosphate,21,24,0.23991774248828973,0.10135563157227924,2.3670884268250885,0.8624792604579259
acetyl-coa,38,44,0.43413686735976237,0.18581865788251192,2.3363470186845032,0.8507718098280455
acetyltransferase,25,29,0.2856163601051068,0.12247138814983742,2.3321068244582155,0.8479407343005443
biotin,18,21,0.2056437792756769,0.08868617762574432,2.3187804997470254,0.8415719229229213
phi,17,20,0.19421912487147264,0.0844630263102327,2.2994573289158002,0.8331037427918027
